"King and Queen","51097","Three Rivers","Eastern Region"
"King George","51099","Rappahannock","Northwest Region"
"King William","51101","Three Rivers","Eastern Region"
"Lancaster","51103","Three Rivers","Eastern Region"
"Lee","51105","Lenowisco","Southwest Region"
"Lexington","51678","Central Shenandoah","Northwest Region"
"Loudoun","51107","Loudoun","Northern Region"
"Louisa","51109","Thomas Jefferson","Northwest Region"
"Lunenburg","51111","Piedmont","Central Region"
"Lynchburg","51680","Central Virginia","Southwest Region"
"Madison","51113","Rappahannock Rapidan","Northwest Region"
"Manassas City","51683","Prince William","Northern Region"
"Manassas Park","51685","Prince William","Northern Region"
"Martinsville","51690","West Piedmont","Southwest Region"
"Mathews","51115","Three Rivers","Eastern Region"
"Mecklenburg","51117","Southside","Central Region"
"Middlesex","51119","Three Rivers","Eastern Region"
"Montgomery","51121","New River","Southwest Region"
"Nelson","51125","Thomas Jefferson","Northwest Region"
"New Kent","51127","Chickahominy","Central Region"
"Newport News","51700","Peninsula","Eastern Region"
"Norfolk","51710","Norfolk","Eastern Region"
"Northampton","51131","Eastern Shore","Eastern Region"
"Northumberland","51133","Three Rivers","Eastern Region"
"Norton","51720","Lenowisco","Southwest Region"
"Nottoway","51135","Piedmont","Central Region"
"Orange","51137","Rappahannock Rapidan","Northwest Region"
"Page","51139","Lord Fairfax","Northwest Region"
"Patrick","51141","West Piedmont","Southwest Region"
"","","",""
"Petersburg","51730","Crater","Central Region"
"Pittsylvania","51143","Pittsylvania-Danville","Southwest Region"
"Poquoson","51735","Peninsula","Eastern Region"
"Portsmouth","51740","Portsmouth","Eastern Region"
"Powhatan","51145","Chesterfield","Central Region"
"Prince Edward","51147","Piedmont","Central Region"
"Prince George","51149","Crater","Central Region"
"Prince William","51153","Prince William","Northern Region"
"Pulaski","51155","New River","Southwest Region"
"Radford","51750","New River","Southwest Region"
"Rappahannock","51157","Rappahannock Rapidan","Northwest Region"
"Richmond City","51760","Richmond","Central Region"
"Richmond County","51159","Three Rivers","Eastern Region"
"Roanoke City","51770","Roanoke","Southwest Region"
"Roanoke County","51161","Alleghany","Southwest Region"
"Rockbridge","51163","Central Shenandoah","Northwest Region"
"Rockingham","51165","Central Shenandoah","Northwest Region"
"Russell","51167","Cumberland Plateau","Southwest Region"
"Salem","51775","Alleghany","Southwest Region"
"Scott","51169","Lenowisco","Southwest Region"
"Shenandoah","51171","Lord Fairfax","Northwest Region"
"Smyth","51173","Mount Rogers","Southwest Region"
"Southampton","51175","Western Tidewater","Eastern Region"
"Spotsylvania","51177","Rappahannock","Northwest Region"
"Stafford","51179","Rappahannock","Northwest Region"
"Staunton","51790","Central Shenandoah","Northwest Region"
"Suffolk","51800","Western Tidewater","Eastern Region"
"Surry","51181","Crater","Central Region"
"Sussex","51183","Crater","Central Region"
"Tazewell","51185","Cumberland Plateau","Southwest Region"
"Virginia Beach","51810","Virginia Beach","Eastern Region"
"Warren","51187","Lord Fairfax","Northwest Region"
"Washington","51191","Mount Rogers","Southwest Region"
"Waynesboro","51820","Central Shenandoah","Northwest Region"
"Westmoreland","51193","Three Rivers","Eastern Region"
"Williamsburg","51830","Peninsula","Eastern Region"
"Winchester","51840","Lord Fairfax","Northwest Region"
"Wise","51195","Lenowisco","Southwest Region"
"Wythe","51197","Mount Rogers","Southwest Region"
"York","51199","Peninsula","Eastern Region"
