"HealthDistrict","establishmentName","permitName","permitNumber","program","PermitType","status","RiskCategory","catering","commissary","smokingStatus","wasteWaterGrease","inspectionFrequency","ApplicationDate","OriginalIssueDate","PermitIssueDate","ExpirationDate","FacilityAddress","city","zip","FIPSCode","LocalityName"
"EHD - Portsmouth","NULL","The Soul Shack(OOB)","SSUN-AX3PWZ","Food Establishment","Full Service Restaurant","Withdrawn","3","NO","NO","Smoke Free","Grease Trap (Exterior)","4","3/8/2018","3/19/2018","4/1/2018","3/31/2019","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","NULL","Narrows Lions Club","ACOS-629NPG","Food Establishment","Temporary restaurant","Surrendered","1","","NULL","","","NULL","6/23/2004","6/24/2004","7/3/2004","7/4/2004","NULL","NULL","NULL","NULL","NULL"
"EHD - Mount Rogers","NULL","Taco Trolley, LLC","MFEL-AK7TEH","Food Establishment","Mobile Food Unit","Surrendered","1","","NULL","Smoke Free","","12","3/6/2017","NULL","NULL","12/31/2017","NULL","NULL","NULL","NULL","NULL"
"EHD - Norfolk","NULL","Mick's Pancake House","MGAL-5BGPC3","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","","","NULL","2/28/2003","1/27/2003","3/2/2004","2/28/2005","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","NULL","A Joyful Spirit Cafe","MCOS-5CTPR2","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Smoke Free","","NULL","10/23/2003","11/1/2003","10/19/2011","10/31/2012","NULL","NULL","NULL","NULL","NULL"
"EHD - Portsmouth","NULL","The Soul Shack(OOB)","SSUN-AMGP8M","Food Establishment","Fast Food Restaurant","Business Closed","3","NO","NO","Smoke Free","Grease Trap (Exterior)","4","5/4/2017","5/19/2017","6/1/2017","5/31/2018","NULL","NULL","NULL","NULL","NULL"
"EHD - Virginia Beach","NULL","Aramark At Avis (01-1284)","MROS-5CJK6L","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","NULL","8/24/2007","8/24/2007","7/1/2013","7/31/2014","NULL","NULL","NULL","NULL","NULL"
"EHD - Portsmouth","NULL","Tony Tone's Cheese Steaks & Deli","JIVN-62MQS5","Food Establishment","Carry Out Food Service Only","Surrendered","4","","NULL","","","NULL","7/1/2004","7/9/2004","7/1/2004","6/30/2005","NULL","NULL","NULL","NULL","NULL"
"EHD - Mount Rogers","NULL","Fox Creek General Store","SPRE-A44SGB","Food Establishment","Convenience Store Food Service","Withdrawn","","","NULL","Smoke Free","Grease Trap (Exterior)","NULL","11/9/2015","NULL","NULL","12/31/2016","NULL","NULL","NULL","NULL","NULL"
"EHD - Virginia Beach","NULL","Sal's Pizza","JLLD-5CQRVF","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Restricted","","NULL","12/8/2003","12/15/2003","11/1/2009","11/30/2010","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","NULL","Acres Eatery","015-FD-63401","Food Establishment","","Business Closed","2","NO","NO","Smoke Free","Grease Trap (interior)","6","12/11/2017","12/11/2017","6/24/2019","6/30/2020","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","NULL","Dairy Club Of Virginia Tech","LRON-5QSM42","Food Establishment","Commissary","Surrendered","2","","NULL","Non-Smoking","","NULL","8/26/2003","8/26/2003","8/31/2007","8/31/2008","NULL","NULL","NULL","NULL","NULL"
"EHD - Norfolk","NULL","(OOB)Chesterfield Seafood Take-Out Mart(OOB)","ICHH-67FDCP","Food Establishment","Carry Out Food Service Only","Surrendered","4","","NULL","Smoke Free","","NULL","12/6/2004","4/1/2005","3/24/2011","3/31/2011","NULL","NULL","NULL","NULL","NULL"
"EHD - Fairfax","NULL","Tara Thai Restaurant2","MVVE-5CDV88","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Non-Smoking","","3","2/1/2002","2/1/2002","2/1/2002","12/31/2004","NULL","NULL","NULL","NULL","NULL"
"EHD - Three Rivers","NULL","FORGET-ME-NOT, CALLAO LLC","ASAS-5K5KRD","Food Establishment","Restaurant","Surrendered","1","","NULL","","","NULL","2/26/2003","1/7/2004","1/5/2004","1/5/2005","NULL","NULL","NULL","NULL","NULL"
"EHD - Portsmouth","NULL","Sunday's","SSUN-B46P8Y","Food Establishment","Full Service Restaurant","Withdrawn","3","NO","NO","Smoke Free","Grease Trap (Exterior)","4","8/22/2018","8/30/2018","9/1/2018","8/31/2019","NULL","NULL","NULL","NULL","NULL"
"EHD - Arlington","NULL","Assembly- Gigi's Greens and Grains","013-FD-26867","Food Establishment","","Withdrawn","","YES","NO","Smoke Free","Grease Trap (interior)","","7/14/2021","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Arlington","NULL","Assembly- Great Lakes Diner","013-FD-26873","Food Establishment","","Withdrawn","","YES","NO","Smoke Free","Grease Trap (interior)","","7/14/2021","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Portsmouth","NULL","KP's South East Grill","TMAO-79DKD5","Food Establishment","Carry Out Food Service Only","Surrendered","4","","NULL","Non-Smoking","","NULL","11/23/2007","11/16/2007","11/1/2007","10/31/2008","NULL","NULL","NULL","NULL","NULL"
"EHD - Fairfax","NULL","Village Kabob Restaurant2","MVVE-5CE3R4","Food Establishment","Restaurant","Surrendered","4","","NULL","Non-Smoking","","NULL","1/1/2002","1/1/2002","1/1/2002","12/31/2004","NULL","NULL","NULL","NULL","NULL"
"EHD - Fairfax","NULL","Pizza Boli's","MVVE-5CDUJQ","Food Establishment","Carry out only","Surrendered","2","","NULL","Non-Smoking","","NULL","2/1/2001","2/1/2001","1/1/2003","12/31/2004","NULL","NULL","NULL","NULL","NULL"
"EHD - Peninsula","NULL","Williamsburg Center Genesis Elder Care","CPUT-5JFSPL","Food Establishment","Nursing homes","Surrendered","4","","NULL","","","NULL","2/4/2003","2/1/2003","1/23/2004","2/28/2005","NULL","NULL","NULL","NULL","NULL"
"EHD - Portsmouth","NULL","Hart to Hart","TMAO-7MTNKH","Food Establishment","Carry Out Food Service Only","Surrendered","4","","NULL","Smoke Free","","NULL","12/18/2008","12/29/2008","12/29/2008","12/31/2009","NULL","NULL","NULL","NULL","NULL"
"EHD - Three Rivers","NULL","El Chapala","DPAR-592GSG","Food Establishment","Restaurant","Surrendered","4","","NULL","Restricted","","NULL","5/15/2001","6/1/2001","6/1/2001","6/30/2002","NULL","NULL","NULL","NULL","NULL"
"EHD - Three Rivers","NULL","W & L Concession Stand","193-FD-7090","Food Establishment","","Permitted","2","NO","NO","Smoke Free","Other","6","8/18/2021","NULL","9/1/2021","8/31/2022","NULL","NULL","NULL","NULL","NULL"
"EHD - Portsmouth","NULL","Facenda's Italian Restaurant OOB","TMAO-7ZWKNV","Food Establishment","Full Service Restaurant","Business Closed","3","NO","NO","Restricted","None","4","1/21/2010","1/21/2010","1/1/2016","12/31/2016","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","NULL","Nhs Basketball/volleyball","ACOS-629NA6","Food Establishment","Temporary restaurant","Surrendered","1","","NULL","","","NULL","6/23/2004","6/24/2004","7/3/2004","7/4/2004","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","NULL","Fern Echols","ACOS-629MGZ","Food Establishment","Temporary restaurant","Surrendered","1","","NULL","","","NULL","6/23/2004","6/24/2004","7/3/2004","7/4/2004","NULL","NULL","NULL","NULL","NULL"
"EHD - Mount Rogers","NULL","Our Place","JSTT-AM2LBS","Food Establishment","Other Food Service","Pending","","","NULL","Smoke Free","None","NULL","4/28/2017","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Prince William","NULL","Prince William Fair","IHEZ-6FKLJ8","Food Establishment","Temporary Restaurant","Surrendered","1","","NULL","Outdoor","","NULL","8/12/2005","8/12/2005","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Arlington","NULL","Assembly- Charro's","013-FD-26871","Food Establishment","","Withdrawn","","YES","NO","Smoke Free","Grease Trap (interior)","","7/14/2021","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Portsmouth","NULL","Moore's Country Grill","JIVN-6PHGTK","Food Establishment","Carry Out Food Service Only","Surrendered","4","","NULL","","","NULL","2/7/2006","5/5/2006","5/1/2006","4/30/2007","NULL","NULL","NULL","NULL","NULL"
"EHD - Crater","NULL","Dominion Services, L.C.","LLAM-5DWHNP","Food Establishment","Mobile food unit","Surrendered","3","","NULL","","","NULL","9/12/2002","9/12/2002","9/12/2002","9/12/2003","NULL","NULL","NULL","NULL","NULL"
"EHD - Three Rivers","NULL","Pilot's Wharf Restaurant","CBRN-6JCT5N","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Restricted","","NULL","10/26/2005","10/28/2005","10/28/2005","10/31/2006","NULL","NULL","NULL","NULL","NULL"
"EHD - Prince William","NULL","Joe's The Place Buffet & Grill","AJOS-85SHGC","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","NULL","5/7/2010","5/24/2010","5/24/2010","5/24/2011","NULL","NULL","NULL","NULL","NULL"
"EHD - Portsmouth","NULL","trefa hinds","#REF!","Food Establishment","","Pending","","NO","YES","Smoke Free","Grease Trap (interior)","","11/15/2022","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","NULL","American Legion Aux.","ACOS-629NG6","Food Establishment","Temporary restaurant","Surrendered","1","","NULL","","","NULL","6/23/2004","6/24/2004","7/3/2004","7/4/2004","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","NULL","American Legion Auxillary","ACOS-5NNQ6Y","Food Establishment","Temporary restaurant","Surrendered","","","NULL","","","NULL","6/19/2003","6/19/2003","7/4/2003","7/4/2003","NULL","NULL","NULL","NULL","NULL"
"EHD - Norfolk","NULL","Mick's Pancake House","MGAL-5BGPC3","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","","","NULL","2/25/2003","1/27/2003","3/2/2004","2/28/2005","NULL","NULL","NULL","NULL","NULL"
"EHD - Three Rivers","NULL","The Landing Restaurant  ","LMAN-94VSP3","Food Establishment","Seasonal Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","3","2/13/2013","2/1/2015","2/1/2015","1/31/2016","NULL","NULL","NULL","NULL","NULL"
"EHD - Three Rivers","NULL","A.C.'s Cafe & Sports Grill","CBRN-7Y2326","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","NULL","10/22/2009","12/11/2009","5/25/2012","5/25/2013","NULL","NULL","NULL","NULL","NULL"
"EHD - Arlington","NULL","Assembly- Beng Beng","013-FD-26868","Food Establishment","","Withdrawn","","YES","NO","Smoke Free","Grease Trap (interior)","","7/14/2021","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Arlington","NULL","Smoke N The City","124-FD-27071","Food Establishment","","Pending","","NO","NO","Smoke Free","Grease Trap (interior)","","8/22/2022","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Mount Rogers","NULL","LAKEVIEW RESTAURANT","CEDS-5HDBPG","Food Establishment","Restaurant","Surrendered","4","","NULL","","","NULL","12/20/2002","1/1/2004","1/1/2004","12/31/2004","NULL","NULL","NULL","NULL","NULL"
"EHD - Three Rivers","NULL","DO NOT USE - Excellent E.A.T.S","KWAN-9Z2LNJ","Food Establishment","Caterer","Withdrawn","","YES","NO","Smoke Free","Other","","8/3/2015","NULL","NULL","7/31/2016","NULL","NULL","NULL","NULL","NULL"
"EHD - Prince William","NULL","Garfield High School Carnival","ACAL-5XYKZW","Food Establishment","Temporary restaurant","Surrendered","2","","NULL","","","NULL","4/9/2004","4/8/2004","4/8/2004","4/10/2005","NULL","NULL","NULL","NULL","NULL"
"EHD - Three Rivers","NULL","Crabby Oyster II","DPAR-5LHNMG","Food Establishment","Restaurant","Surrendered","4","","NULL","Restricted","","NULL","3/5/2003","3/11/2003","3/1/2005","3/31/2006","NULL","NULL","NULL","NULL","NULL"
"EHD - Norfolk","NULL","Colley Cantina","LRAR-59XGDW","Food Establishment","Temporary Restaurant","Surrendered","4","","NULL","Restricted","","NULL","12/1/2002","1/29/2003","1/19/2005","12/31/2006","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","NULL","Lighthouse Ministries","ACOS-629NV7","Food Establishment","Temporary restaurant","Surrendered","1","","NULL","","","NULL","6/23/2004","6/24/2004","7/3/2004","7/4/2004","NULL","NULL","NULL","NULL","NULL"
"EHD - Virginia Beach","NULL","Ocean Crab (01-0503)","JLLD-AN9L9B","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","","4","6/12/2017","7/5/2017","12/1/2018","11/30/2019","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","NULL","Daily Grind #3","PKYE-5W4HTB","Food Establishment","Fast Food Restaurant","Surrendered","1","","NULL","Smoke Free","","NULL","2/11/2004","2/17/2004","3/1/2006","2/28/2007","NULL","NULL","NULL","NULL","NULL"
"EHD - Cumberland Plateau","NULL","Roo's Grill at Flannagan Marina and Powersports","JSTY-AJ8ML6","Food Establishment","Seasonal Fast Food Restaurant","Surrendered","","","NULL","Outdoor smoking area","Grease Trap (Interior)","NULL","2/3/2017","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","NULL","Fern Echols","ACOS-5NKM83","Food Establishment","Temporary restaurant","Surrendered","","","NULL","","","NULL","6/16/2003","6/16/2003","7/4/2003","7/4/2003","NULL","NULL","NULL","NULL","NULL"
"EHD - Peninsula","NULL","Ruxton Health of Williamsburg","KCOD-63YNVA","Food Establishment","Nursing Home Food Service","Surrendered","4","","NULL","Non-Smoking","","NULL","8/18/2004","8/18/2004","7/9/2008","7/31/2009","NULL","NULL","NULL","NULL","NULL"
"EHD - Three Rivers","NULL","Blackbeard's","JKAZ-59FHMF","Food Establishment","Restaurant","Surrendered","4","","NULL","Restricted","","NULL","4/22/2002","3/27/2003","6/21/2005","6/30/2006","NULL","NULL","NULL","NULL","NULL"
"EHD - Mount Rogers","NULL","LAKEVIEW RESTAURANT3","CEDS-5HDBPG","Food Establishment","Restaurant","Surrendered","4","","NULL","","","NULL","12/20/2002","1/1/2004","1/1/2004","12/31/2004","NULL","NULL","NULL","NULL","NULL"
"EHD - Arlington","NULL","The Frosty Unicorn","059-FD-27020","Food Establishment","","Pending","","NO","NO","Smoke Free","Other","","5/26/2022","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Chickahominy","NULL","Sharkey's Eats","KSHR-7SMS3N","Food Establishment","Seasonal Fast Food Restaurant","Surrendered","2","","NULL","Non-Smoking","Grease Trap (Exterior)","NULL","6/2/2009","6/2/2009","6/11/2010","6/30/2011","NULL","NULL","NULL","NULL","NULL"
"EHD - Three Rivers","NULL","Uncle Bingo BBQ LLC","193-FD-7171","Food Establishment","","Withdrawn","","NO","YES","Smoke Free","Other","","7/5/2022","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Rappahannock","NULL","Gabby's Seafood, LLC","DCOO-7S3LWH","Food Establishment","Mobile Food Unit","Withdrawn","3","","NULL","Smoke Free","","NULL","5/13/2009","5/15/2009","3/16/2012","12/31/2013","NULL","NULL","NULL","NULL","NULL"
"EHD - Prince William","NULL","Manassas Park Golf Course","JSUZ-55ENE3","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","NULL","9/9/2002","12/18/2003","12/18/2003","2/16/2007","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","NULL","Salerno's","MCOS-5D8M78","Food Establishment","Restaurant","Surrendered","2","","NULL","","","NULL","10/6/2003","11/1/2003","10/6/2003","10/31/2004","NULL","NULL","NULL","NULL","NULL"
"EHD - Prince William","NULL","Hispanic Rodeo --- 2005","IHEZ-6FRLRS","Food Establishment","Temporary Restaurant","Surrendered","1","","NULL","Outdoor","","NULL","8/30/2005","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Virginia Beach","NULL","Sal's Pizza","JLLD-5CQRVF","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Restricted","","NULL","12/8/2003","12/15/2003","11/1/2009","11/30/2010","NULL","NULL","NULL","NULL","NULL"
"EHD - Prince William","NULL","Hispanic Rodeo - Fairground","IHEZ-6FRLQ3","Food Establishment","Temporary Restaurant","Surrendered","4","","NULL","Outdoor","","NULL","8/30/2005","8/30/2005","8/30/2005","8/30/2006","NULL","NULL","NULL","NULL","NULL"
"EHD - Arlington","NULL","Assembly- Sammy Pickles","013-FD-26870","Food Establishment","","Withdrawn","","YES","NO","Smoke Free","Grease Trap (interior)","","7/14/2021","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Pittsylvania-Danville","Little Caesar's","Edwards Investments of Va., LLC","#REF!","Food Establishment","","Permitted","2","NO","NO","Smoke Free","Grease Trap (interior)","6","7/9/2019","7/9/2019","7/9/2019","7/31/2020","NULL","NULL","NULL","NULL","NULL"
"EHD - Prince William","La Caverna Restaurant","La Caverna Restaurant","#REF!","Food Establishment","","Permitted","3","NO","NO","Smoke Free","Grease Trap (interior)","4","11/14/2022","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","NULL","Honey Tree Early Learning Center","RMOS-B3RQX9","Food Establishment","Child Care Food Service","Expired","","NO","NO","Smoke Free","Other","","8/17/2018","NULL","NULL","8/31/2019","NULL","NULL","NULL","NULL","NULL"
"EHD - Rappahannock-Rapidan","Wellness Retreat at Twin Oaks","Wellness Retreat at Twin Oaks","#REF!","Food Establishment","","Pending","2","NO","NO","Smoke Free","Grease Trap (interior)","6","6/27/2019","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","NULL","Radford/fairlawn Daily Bread","MVVE-56HSCH","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Non-Smoking","","NULL","1/1/2001","1/1/2001","11/7/2006","11/30/2007","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","The Real Deal LLC","The Real Deal LLC","#REF!","Food Establishment","","Business Closed","","NO","NO","Smoke Free","Other","","6/13/2019","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","Arabica Cafe","Arabica Cafe","#REF!","Food Establishment","","Pending","","NO","NO","Smoke Free","Other","","5/4/2022","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Central","Corny Kettlers","Corny Kettlers","#REF!","Food Establishment","","Expired","","NO","NO","Smoke Free","None","","7/17/2019","7/6/2019","7/6/2019","7/30/2020","NULL","NULL","NULL","NULL","NULL"
"EHD - Chickahominy","Haulin Balls","Haulin Balls","#REF!","Food Establishment","","Withdrawn","","YES","YES","Exempt","Grease Trap (interior)","","12/30/2019","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","Ultimate Gameday","Ultimate Gameday","#REF!","Food Establishment","","Pending","","NO","NO","Smoke Free","Other","","7/9/2021","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Three Rivers","Klassy Khef LLC","****Klassy Khef (DUPLIC ATE: DO NOT USE)","#REF!","Food Establishment","","Pending","","NO","NO","Smoke Free","Other","","6/14/2022","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Western Tidewater","The Original Taste of Jamaican","A Taste of Jamaica","SHUN-AHGRNA","Food Establishment","Full Service Restaurant","Business Closed","4","NO","YES","Smoke Free","Other","3","3/28/2019","6/12/2017","3/28/2019","3/30/2019","NULL","NULL","NULL","NULL","NULL"
"EHD - Western Tidewater","State Fair Popcorn","State Fair Popcorn","#REF!","Food Establishment","","Permitted","1","NO","NO","Smoke Free","None","12","11/4/2022","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Arlington","NULL","La Cabanita Kitchen","600-FD-26801","Food Establishment","","Pending","","NO","NO","Smoke Free","Other","","3/23/2021","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Rappahannock-Rapidan","Foti's","Foti's","#REF!","Food Establishment","","Business Closed","3","NO","NO","Smoke Free","Grease Trap (interior)","4","10/29/2019","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Richmond","Crab Depot","Crab Depot","#REF!","Food Establishment","","Withdrawn","3","NO","NO","Exempt","None","","7/9/2019","7/9/2019","7/20/2019","7/8/2020","NULL","NULL","NULL","NULL","NULL"
"EHD - West Piedmont","W&W Produce","W&W Produce","RTUR-5KJKNE","Food Establishment","Pump & Haul","Withdrawn","","NO","NO","Smoke Free","Other","","3/13/2003","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Arlington","NULL","The Bronson","#REF!","Food Establishment","","Withdrawn","3","NO","NO","Smoke Free","Grease Trap (interior)","12","7/31/2019","7/31/2019","7/31/2019","12/31/2019","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","First United Methodist Church Pearisburg","First United Methodist Church Pearisburg","#REF!","Food Establishment","","Withdrawn","","NO","NO","Smoke Free","Other","","7/16/2020","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","NULL","Chu-cho's Fresh Mexican","RMOS-88VFFS","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","Grease Trap (Exterior)","NULL","8/19/2010","9/7/2010","9/30/2011","9/30/2012","NULL","NULL","NULL","NULL","NULL"
"EHD - Rappahannock-Rapidan","Ellie's Place","Ellie's Place","#REF!","Food Establishment","","Revoked","3","NO","NO","Smoke Free","Grease Trap (interior)","4","6/26/2019","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Piedmont","House of Food and Funnel Cakes","House of Food and Funnel Cakes","#REF!","Food Establishment","","Business Closed","1","YES","NO","Exempt","Grease Trap (interior)","12","9/3/2021","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Richmond","Pupuseria Zacamil","Pupuseria Zacamil","#REF!","Food Establishment","","Withdrawn","","NO","YES","Smoke Free","None","","10/3/2019","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Three Rivers","The Daily Grind","The Daily Grind","CXES-B8EMMM","Food Establishment","Fast Food Restaurant","Business Closed","1","NO","NO","Smoke Free","Grease Trap (interior)","12","1/20/2022","1/11/2019","2/28/2022","3/1/2023","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","NULL","Stellato Toscana","CMOS-6U8PW8","Food Establishment","Full Service Restaurant","Surrendered","4","NO","NO","Non-Smoking","None","","10/3/2006","3/14/2007","3/31/2009","3/31/2010","NULL","NULL","NULL","NULL","NULL"
"EHD - New River","NULL","Toscana Italiano","CMOS-83VKH2","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","NULL","3/25/2010","3/25/2010","3/31/2013","3/31/2014","NULL","NULL","NULL","NULL","NULL"
"EHD - Three Rivers","E & J Family Concessions","E & J Family Concessions","#REF!","Food Establishment","","Withdrawn","","NO","NO","Smoke Free","None","","8/1/2019","8/10/2019","8/10/2019","8/10/2019","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","NULL","cLOSED-Vibe Bistro & Lounge","PKIE-8P4K7C","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Restricted","","6","11/23/2011","1/1/2012","2/1/2016","1/31/2017","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","NULL","Bombay Courtyard","KRON-586LUQ","Food Establishment","Restaurant","Surrendered","4","","NULL","","","NULL","11/10/2003","11/1/2003","4/14/2005","4/13/2006","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","NULL","Bourbon Street on Main","PKYE-7BHMEC","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","NULL","2/4/2008","5/1/2007","5/1/2010","4/30/2011","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","NULL","Bombay Courtyard","KRON-6CBPRZ","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Non-Smoking","","NULL","4/13/2005","4/13/2005","5/1/2007","4/30/2008","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","NULL","Vibe Bistro & Lounge","AFRY-A9CH8X","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Restricted","","6","4/15/2016","5/1/2016","5/1/2017","4/30/2018","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","NULL","Tandori's Kitchen","PKYE-8DUQ6Z","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","NULL","2/7/2011","3/1/2011","3/1/2011","2/29/2012","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","NULL","CLOSED-Vibe Bistro & Lounge","AFRY-A95G6M","Food Establishment","Full Service Restaurant","Surrendered","","","NULL","Restricted","","NULL","4/15/2016","5/1/2016","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
